S.No.	Name	CMP Rs.	P/E	Mar Cap Rs.Cr.	Div Yld %	NP Qtr Rs.Cr.	Qtr Profit Var %	Sales Qtr Rs.Cr.	Qtr Sales Var %	ROCE %	Avg Vol 1Wk	Avg Vol 1Yr	1wk return %
1.	Sigma Solve	536.05	27.09	550.93	0.01	5.19	31.81	20.66	29.12	58.79	533241	32574	12.58
2.	Dynacons Sys.	1031.75	17.66	1312.94	0.05	19.61	10.92	328.69	2.41	39.17	793656	55258	21.50
3.	Lakhotia Poly.	125.90	18.37	131.87	0.00	0.98	644.44	1.03	186.11	38.57	12737	1559	21.28
4.	Netweb Technol.	4311.90	189.18	24428.58	0.06	30.48	100.00	301.21	101.72	32.45	7192506	985773	16.68
5.	Sandur Manganese	194.54	19.20	9456.68	0.21	167.09	15.32	1135.38	88.70	20.78	11294637	529325	20.01
6.	Sun TV Network	577.80	13.29	22770.21	2.60	529.21	-5.40	1290.28	-1.77	20.40	4429556	386877	10.32
7.	Stallion India	286.55	66.33	2273.07	0.00	10.36	23.04	110.47	50.98	19.67	7826940	1562326	41.82
8.	Cybertech Sys.	270.89	23.59	843.30	1.48	8.17	11.01	58.19	0.54	19.45	6614387	167385	57.02
9.	Sameera Agro	17.55	7.35	104.51	0.00	3.93	8.56	51.82	14.32	18.17	229000	29282	15.46
10.	Esconet	269.10	51.54	355.11	0.00	4.69	108.44	120.50	82.02	17.85	117800	22332	6.66
11.	BDH Industries	506.80	30.60	291.92	0.89	1.83	16.56	18.62	14.51	17.82	24479	3890	16.29
12.	Twamev Constr.	26.46	4.18	410.13	0.00	1.10	11.11	11.74	52.07	17.21	1319378	159248	13.61
13.	Iconik Sports	87.48	274.12	296.05	0.00	-1.56	-3800.00	0.00		17.08	44664	3548	10.19
14.	V2 Retail	2222.90	95.68	7688.86	0.00	24.66	50.92	632.22	52.33	16.87	420106	77910	17.87
15.	Vardhman Special	293.80	32.62	2835.27	1.02	19.90	-23.70	433.70	4.56	16.53	486791	92553	9.36
16.	AAA Technologies	105.28	38.47	135.04	1.42	0.81	0.00	4.24	18.77	16.02	671074	48822	36.73
17.	India Nipp.Elec.	1046.05	27.09	2366.31	1.19	23.21	27.95	224.70	20.45	15.43	333021	30895	11.78
18.	Pune e	196.65	18.70	307.77	0.00	5.63	-15.99	22.82	-42.61	15.22	139000	20082	8.56
19.	Bharat Road	21.86	1.09	183.51	0.00	13.35	165.79	46.25	-55.12	15.12	1273814	165703	6.27
20.	RACL Geartech	1237.00	52.79	1458.19	0.00	8.29	32.43	99.91	-5.10	12.54	426618	34081	11.32
21.	Sai Silks	184.02	24.90	2822.24	0.54	30.05	1337.80	379.02	41.80	12.37	10614677	894988	21.04
22.	Paushak	959.65	46.31	2366.20	0.26	12.03	16.68	55.88	7.44	11.21	34597	3031	17.25
23.	Borosil Scienti.	144.16	53.40	1282.26	0.00	-4.21	-55.30	95.98	-7.89	10.31	903750	144121	8.68
24.	Umiya Buildcon	99.30	33.61	185.54	0.00	31.43	-27.08	12.83	18.91	9.59	431147	51539	15.28
25.	Sh. Krishna Pap.	75.36	45.49	101.90	0.00	0.88	482.61	55.29	53.46	8.72	4852	741	21.51
